art_style,emotion,painting,repetition,utterance,version,split,tokens_len,utterance_spelled,emotion_label,image_file,grounding_emotion
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,"The chained, vulnerable woman and the strange demonic creature coming to attack her make me feel afraid. The dark tone of the painting is frightening as well.",new,train,27,the chained vulnerable woman and the strange demonic creature coming to attack her make me feel afraid the dark tone of the painting is frightening as well,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Baroque,contentment,jan-steen_lean-kitchen,7,This appears to be a family or friends gathering and working together,new,val,12,this appears to be a family or friends gathering and working together,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Baroque/jan-steen_lean-kitchen.jpg,contentment
Naive_Art_Primitivism,fear,marc-chagall_they-were-in-forty-pairs-1948,25,It looks like there is a lot of fire in the background. Too hot to handle,new,train,16,it looks like there is a lot of fire in the background too hot to handle,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/marc-chagall_they-were-in-forty-pairs-1948.jpg,fear
Ukiyo_e,fear,katsushika-hokusai_manga-1,10,"there are a series of demon faces, one more gruesome and terrifying than the next",new,train,15,there are a series of demon faces one more gruesome and terrifying than the next,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/katsushika-hokusai_manga-1.jpg,fear
Fauvism,anger,fikret-mualla-saygi_sar-elbise,1,something bad is happening in that image and its scary for me,new,train,12,something bad is happening in that image and its scary for me,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Fauvism/fikret-mualla-saygi_sar-elbise.jpg,anger
Fauvism,sadness,martiros-saryan_mules-laden-with-hay-1910,1,The two green stains ruin the painting of the horses.,new,train,10,the two green stains ruin the painting of the horses,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Fauvism/martiros-saryan_mules-laden-with-hay-1910.jpg,sadness
Color_Field_Painting,disgust,theodoros-stamos_infinity-field-lefkada-series-1983,14,"this one just isn't art at all, what's going on here",new,train,13,this one just is not art at all what is going on here,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,disgust
Color_Field_Painting,disgust,theodoros-stamos_infinity-field-lefkada-series-1983,14,The darkness and almost signle tone gives no meaning,new,train,9,the darkness and almost single tone gives no meaning,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,disgust
Pop_Art,disgust,howard-hodgkin_girl-on-a-sofa-1968,19,It looks like someone is very distorted in this image.,new,train,10,it looks like someone is very distorted in this image,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,disgust
Ukiyo_e,fear,katsushika-hokusai_sazai-hall-500-rakan-temples,1,The gaps in the railing around the water are wide enough for the small wandering child to fall through.,new,train,19,the gaps in the railing around the water are wide enough for the small wandering child to fall through,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/katsushika-hokusai_sazai-hall-500-rakan-temples.jpg,fear
Color_Field_Painting,anger,theodoros-stamos_infinity-field-lefkada-series-1983,14,A lot more effort could have gone into this image.,new,train,10,a lot more effort could have gone into this image,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,anger
Color_Field_Painting,anger,edward-corbett_p-t-5-1970,3,the colors do not blend i do not like that makes me angry,new,train,13,the colors do not blend i do not like that makes me angry,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/edward-corbett_p-t-5-1970.jpg,anger
High_Renaissance,fear,cima-da-conegliano_st-jerome-in-a-landscape,20,The old man seems to be cursing something and there is a lion next to him.,new,train,16,the old man seems to be cursing something and there is a lion next to him,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/cima-da-conegliano_st-jerome-in-a-landscape.jpg,fear
High_Renaissance,anger,cima-da-conegliano_st-jerome-in-a-landscape,20,the ascetic is living in isolation in a devotion to an uncaring God,new,train,13,the ascetic is living in isolation in a devotion to an uncaring god,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/cima-da-conegliano_st-jerome-in-a-landscape.jpg,anger
Ukiyo_e,fear,katsushika-hokusai_manga-1,10,These look like masks someone uses to go into battle or scare someone,new,train,13,these look like masks someone uses to go into battle or scare someone,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/katsushika-hokusai_manga-1.jpg,fear
Northern_Renaissance,sadness,martin-schongauer_altar-of-omgeving-1491,30,This man looks to be tending to his friend's wounds.,new,train,11,this man looks to be tending to his friend 's wounds,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,sadness
Rococo,excitement,bernardo-bellotto_a-view-of-the-lobkowicz-palace-in-vienna-1761,7,"This looks like a new city is being built. An exciting time to see the dawn of a new city, the dawn of a new society.",new,train,26,this looks like a new city is being built an exciting time to see the dawn of a new city the dawn of a new society,3,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/bernardo-bellotto_a-view-of-the-lobkowicz-palace-in-vienna-1761.jpg,excitement
Color_Field_Painting,disgust,helen-frankenthaler_santa-fe-ii-1986,2,the peachy red smear at the top of the picture is very repellant and not easy to look at.,new,train,19,the peachy red smear at the top of the picture is very repellant and not easy to look at,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/helen-frankenthaler_santa-fe-ii-1986.jpg,disgust
Pop_Art,disgust,howard-hodgkin_girl-on-a-sofa-1968,19,Some sort of pink figure on a red background.,new,train,9,some sort of pink figure on a red background,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,disgust
Minimalism,anger,jiro-yoshihara_untitled(1),17,This seems like a blackout surrounded by a period of rage.,new,train,11,this seems like a blackout surrounded by a period of rage,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,anger
Synthetic_Cubism,sadness,juan-gris_still-life-with-newspaper-1918,2,The mainly dark colours make me feel very negative.,new,train,9,the mainly dark colors make me feel very negative,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Synthetic_Cubism/juan-gris_still-life-with-newspaper-1918.jpg,sadness
Art_Nouveau_Modern,amusement,kay-nielsen_old-luk-oie,4,the  colors the representation and way how the landscape is giving a lot of good emotions,new,train,16,the colors the representation and way how the landscape is giving a lot of good emotions,0,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Art_Nouveau_Modern/kay-nielsen_old-luk-oie.jpg,amusement
Art_Nouveau_Modern,awe,kay-nielsen_old-luk-oie,4,"there is light and pastel colors which give a sense of safety, the swans are beautiful and relaxed nothing in this painting looks crammed and fearful",new,train,26,there is light and pastel colors which give a sense of safety the swans are beautiful and relaxed nothing in this painting looks crammed and fearful,1,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Art_Nouveau_Modern/kay-nielsen_old-luk-oie.jpg,awe
Minimalism,sadness,robert-mangold_ring-a-yellow-2010,3,"Here the circle has lost its differently colored half and the twisted line, adding excitement, has flattened out and fails to meet completing a circle within a circle.",new,train,28,here the circle has lost its differently colored half and the twisted line adding excitement has flattened out and fails to meet completing a circle within a circle,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/robert-mangold_ring-a-yellow-2010.jpg,sadness
Abstract_Expressionism,sadness,milton-resnick_flag-1963,12,It is sad that a static display of mute colors is considered art.,new,train,13,it is sad that a static display of mute colors is considered art,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/milton-resnick_flag-1963.jpg,sadness
Abstract_Expressionism,disgust,milton-resnick_flag-1963,12,It looks like a really dirty piece of marble slab,new,train,10,it looks like a really dirty piece of marble slab,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/milton-resnick_flag-1963.jpg,disgust
Romanticism,sadness,albert-bierstadt_portrait-of-a-horse-1869,4,The horse seems all alone since no one is riding it.,new,train,11,the horse seems all alone since no one is riding it,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/albert-bierstadt_portrait-of-a-horse-1869.jpg,sadness
Art_Nouveau_Modern,contentment,kay-nielsen_old-luk-oie,4,All of the bright colors and lush greenery in this painting make me feel content.,new,train,15,all of the bright colors and lush greenery in this painting make me feel content,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Art_Nouveau_Modern/kay-nielsen_old-luk-oie.jpg,contentment
Rococo,contentment,dmitry-levitzky_natalia-melgunova,10,"Her dress says wealth and her smile says health, I would say she is content.",new,train,15,her dress says wealth and her smile says health i would say she is content,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/dmitry-levitzky_natalia-melgunova.jpg,contentment
Northern_Renaissance,contentment,martin-schongauer_madonna-on-the-turf-bench,32,"The lady in the painting seems to be satisfied,peaceful and with her child which made me feel satisfied.",new,train,19,the lady in the painting seems to be satisfied peaceful and with her child which made me feel satisfied,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_madonna-on-the-turf-bench.jpg,contentment
Rococo,contentment,joshua-reynolds_the-infant-samuel-at-prayer,22,The child seems hopeful while praying,new,train,6,the child seems hopeful while praying,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/joshua-reynolds_the-infant-samuel-at-prayer.jpg,contentment
Rococo,sadness,joshua-reynolds_the-infant-samuel-at-prayer,22,The woman appears to be begging for something on her knees.,new,train,11,the woman appears to be begging for something on her knees,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/joshua-reynolds_the-infant-samuel-at-prayer.jpg,sadness
Abstract_Expressionism,excitement,mark-tobey_fire-dancers-1957,2,"As part of their harvest ritual, the tribesman performed a dance to their God.",new,train,14,as part of their harvest ritual the tribesman performed a dance to their god,3,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/mark-tobey_fire-dancers-1957.jpg,excitement
Romanticism,fear,albert-bierstadt_portrait-of-a-horse-1869,4,Horses are big and somewhat unpredictable and I do not like being around them.,new,train,14,horses are big and somewhat unpredictable and i do not like being around them,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/albert-bierstadt_portrait-of-a-horse-1869.jpg,fear
Color_Field_Painting,excitement,charles-hinman_untitled-from-the-on-the-bowery-portfolio-1969,11,"I think its a pretty neat and very brightly colored picture, totally different from the original.",new,train,16,i think its a pretty neat and very brightly colored picture totally different from the original,3,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/charles-hinman_untitled-from-the-on-the-bowery-portfolio-1969.jpg,excitement
Color_Field_Painting,excitement,charles-hinman_untitled-from-the-on-the-bowery-portfolio-1969,11,The contrasting colors in this painting has a playful nature.,new,train,10,the contrasting colors in this painting has a playful nature,3,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/charles-hinman_untitled-from-the-on-the-bowery-portfolio-1969.jpg,excitement
Pop_Art,anger,howard-hodgkin_girl-on-a-sofa-1968,19,"The vibrant red coloration in conjunction with the potent blue stripes and what could be interpreted as a red, half-closed eye convey a certain anger",new,train,26,the vibrant red coloration in conjunction with the potent blue stripes and what could be interpreted as a red half closed eye convey a certain anger,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,anger
Baroque,fear,theodoor-van-thulden_scipio-africanus,1,The powerful man sitting in judgment conveys a sense of vulnerability and peril.,new,train,13,the powerful man sitting in judgment conveys a sense of vulnerability and peril,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Baroque/theodoor-van-thulden_scipio-africanus.jpg,fear
High_Renaissance,contentment,raphael_angel-fragment-of-the-baronci-altarpiece,3,"She looks like she is completely relaxed and at peace, her eyes don't look like they have a care in the world",new,train,23,she looks like she is completely relaxed and at peace her eyes do not look like they have a care in the world,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/raphael_angel-fragment-of-the-baronci-altarpiece.jpg,contentment
Rococo,disgust,benjamin-west_princes-william-and-edward-1778,2,"There seems to be an arrogance to the children's stances, like they think they are superior",new,train,17,there seems to be an arrogance to the children 's stances like they think they are superior,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/benjamin-west_princes-william-and-edward-1778.jpg,disgust
Pop_Art,sadness,howard-hodgkin_girl-on-a-sofa-1968,19,this horrid pink bum on a head is very haunting and devilsh,new,train,12,this horrid pink bum on a head is very haunting and devils,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,sadness
Post_Impressionism,sadness,ilya-mashkov_landscape-1914,3,the way its painted shows a hint of sadness,new,train,9,the way its painted shows a hint of sadness,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Post_Impressionism/ilya-mashkov_landscape-1914.jpg,sadness
Fauvism,sadness,william-h.-johnson_female-nude-reclining-on-blue-ground-1940,4,this poor woman having to be naked for a picture is horrific and dejected for her,new,train,16,this poor woman having to be naked for a picture is horrific and dejected for her,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Fauvism/william-h.-johnson_female-nude-reclining-on-blue-ground-1940.jpg,sadness
Romanticism,fear,sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861,11,The figures appear to be in an act of showy display and are clearly the higher class.,new,train,17,the figures appear to be in an act of showy display and are clearly the higher class,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861.jpg,fear
Northern_Renaissance,sadness,martin-schongauer_altar-of-omgeving-1491,30,This painting made me feel sadness because the figure looked injury.,new,train,11,this painting made me feel sadness because the figure looked injury,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,sadness
Naive_Art_Primitivism,disgust,maria-primachenko_fairy-bird-peacock-1936,1,The brown and black armed thing looks like a octopus,new,train,10,the brown and black armed thing looks like a octopus,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/maria-primachenko_fairy-bird-peacock-1936.jpg,disgust
Pop_Art,sadness,howard-hodgkin_girl-on-a-sofa-1968,19,this pink woman bending down to go swimming looks dejected and tristtul,new,train,12,this pink woman bending down to go swimming looks dejected and trustful,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,sadness
Minimalism,fear,luciano-bartolini_asterione-1979,1,Unidentified Flying Objects are all around us waiting to strike at any giving moment.,new,train,14,unidentified flying objects are all around us waiting to strike at any giving moment,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/luciano-bartolini_asterione-1979.jpg,fear
Realism,fear,ion-andreescu_leafless-forest,20,The darkness of this forest scene and the lack of people make it look a little scary.,new,train,17,the darkness of this forest scene and the lack of people make it look a little scary,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ion-andreescu_leafless-forest.jpg,fear
Realism,fear,ion-andreescu_leafless-forest,20,The dark forest and bare trees evoke a sense of hidden menace.,new,train,12,the dark forest and bare trees evoke a sense of hidden menace,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ion-andreescu_leafless-forest.jpg,fear
Pointillism,sadness,edouard-vuillard_my-grandmother-1892,15,This person looks sad doing their task the red dots over them makes them seem forgotten about it's sad,new,train,20,this person looks sad doing their task the red dots over them makes them seem forgotten about it is sad,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pointillism/edouard-vuillard_my-grandmother-1892.jpg,sadness
Romanticism,sadness,sir-lawrence-alma-tadema_ask-me-no-more-1906,3,"A woman heading down a road she wants no part of, but she can't turn back.",new,train,17,a woman heading down a road she wants no part of but she can not turn back,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/sir-lawrence-alma-tadema_ask-me-no-more-1906.jpg,sadness
Post_Impressionism,sadness,jacques-villon_the-violinist-le-violoniste-supervielle-1899,11,"Violin music is sad, to me, and I can imagine the song he is playing.",new,train,15,violin music is sad to me and i can imagine the song he is playing,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Post_Impressionism/jacques-villon_the-violinist-le-violoniste-supervielle-1899.jpg,sadness
Abstract_Expressionism,fear,jack-tworkov_june-21-1964,6,The red sticks remind me of a bloody fence or war.,new,test,11,the red sticks remind me of a bloody fence or war,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/jack-tworkov_june-21-1964.jpg,fear
Naive_Art_Primitivism,fear,marc-chagall_they-were-in-forty-pairs-1948,25,It seems almost cultic with the dance and the red tones,new,train,11,it seems almost cultic with the dance and the red tones,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/marc-chagall_they-were-in-forty-pairs-1948.jpg,fear
Color_Field_Painting,fear,sven-lukin_snug-2010,4,It's trying to hide in the wall.,new,train,8,it is trying to hide in the wall,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/sven-lukin_snug-2010.jpg,fear
Early_Renaissance,contentment,pietro-perugino_the-pazzi-crucifixion-detail-1,7,"She is to represent discipline in the highest order, she is peaceful always",new,val,13,she is to represent discipline in the highest order she is peaceful always,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Early_Renaissance/pietro-perugino_the-pazzi-crucifixion-detail-1.jpg,contentment
Early_Renaissance,awe,pietro-perugino_the-pazzi-crucifixion-detail-1,7,the halo makes me believe that she is holy,new,val,9,the halo makes me believe that she is holy,1,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Early_Renaissance/pietro-perugino_the-pazzi-crucifixion-detail-1.jpg,awe
Northern_Renaissance,sadness,martin-schongauer_altar-of-omgeving-1491,30,The kneeling man appears to be in a state of grief or disbelief.,new,train,13,the kneeling man appears to be in a state of grief or disbelief,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,sadness
Ukiyo_e,sadness,keisai-eisen_shimada-station-shimada-shuku-no-24-from-an-untitled-series-of-the-fifty-three-stations-of-the(1),4,"The woman is bent over and barely able to move, probably from working hard all her life.",new,train,17,the woman is bent over and barely able to move probably from working hard all her life,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/keisai-eisen_shimada-station-shimada-shuku-no-24-from-an-untitled-series-of-the-fifty-three-stations-of-the(1).jpg,sadness
Art_Nouveau_Modern,sadness,kay-nielsen_old-luk-oie,4,The place seems like somewhere you can never leave from,new,train,10,the place seems like somewhere you can never leave from,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Art_Nouveau_Modern/kay-nielsen_old-luk-oie.jpg,sadness
Abstract_Expressionism,fear,betty-parsons_untitled-abstraction(6),2,They're weird lines and shapes all over the painting like a curved one that looks like a snake coming out from the bottom,new,train,24,they are weird lines and shapes all over the painting like a curved one that looks like a snake coming out from the bottom,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/betty-parsons_untitled-abstraction(6).jpg,fear
Post_Impressionism,sadness,gustave-loiseau_field-and-hills,4,in this big forest there is no water,new,train,8,in this big forest there is no water,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Post_Impressionism/gustave-loiseau_field-and-hills.jpg,sadness
Romanticism,fear,sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861,11,The boy is playing with knives at a young age. It seems a dangerous thing,new,train,15,the boy is playing with knives at a young age it seems a dangerous thing,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861.jpg,fear
Naive_Art_Primitivism,fear,david-burliuk_ploughing-the-field(1),9,The thick brush strokes and bold colors are too intense.,new,train,10,the thick brush strokes and bold colors are too intense,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/david-burliuk_ploughing-the-field(1).jpg,fear
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,The shackled naked woman looks to the warrior as he leaps into the sea challenging the sea monster in the dark water.,new,train,22,the shackled naked woman looks to the warrior as he leaps into the sea challenging the sea monster in the dark water,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Rococo,contentment,benjamin-west_princes-william-and-edward-1778,2,The children appear as if they are having fun and are doing well.,new,train,13,the children appear as if they are having fun and are doing well,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/benjamin-west_princes-william-and-edward-1778.jpg,contentment
High_Renaissance,sadness,cima-da-conegliano_st-jerome-in-a-landscape,20,This looks like a man who is begging for water.,new,train,10,this looks like a man who is begging for water,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/cima-da-conegliano_st-jerome-in-a-landscape.jpg,sadness
Post_Impressionism,sadness,maurice-utrillo_chartres-cathedral,1,The church seems angular and forbidding instead of warm and inviting.,new,train,11,the church seems angular and forbidding instead of warm and inviting,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Post_Impressionism/maurice-utrillo_chartres-cathedral.jpg,sadness
Rococo,sadness,dmitry-levitzky_natalia-melgunova,10,The woman's hair has turned at such a young age. The grey shows her stress.,new,train,16,the woman 's hair has turned at such a young age the grey shows her stress,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/dmitry-levitzky_natalia-melgunova.jpg,sadness
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,The woman seems to be fleeing from the demons,new,train,9,the woman seems to be fleeing from the demons,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,The warrior about to fall to his demise towards the mouth of a sinister sea beast fills me with a sense of horror.,new,train,23,the warrior about to fall to his demise towards the mouth of a sinister sea beast fills me with a sense of horror,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Rococo,anger,vladimir-borovikovsky_paul-i-1800,3,"the toad of a man, stands with a crown atop his head, dressed in ermine. he is the ruler of all before him",new,train,23,the toad of a man stands with a crown atop his head dressed in ermine he is the ruler of all before him,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/vladimir-borovikovsky_paul-i-1800.jpg,anger
Impressionism,disgust,claude-monet_still-life-with-pears-and-grapes-1,1,The fruit looks old and mouldy and shrunken,new,train,8,the fruit looks old and mouldy and shrunken,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Impressionism/claude-monet_still-life-with-pears-and-grapes-1.jpg,disgust
Pop_Art,fear,charles-lapicque_tigre-1961,2,It looks like a hungry tiger in search of prey,new,train,10,it looks like a hungry tiger in search of prey,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/charles-lapicque_tigre-1961.jpg,fear
Pop_Art,fear,charles-lapicque_tigre-1961,2,the tiger with red eyes is looking ferocious and scary,new,train,10,the tiger with red eyes is looking ferocious and scary,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/charles-lapicque_tigre-1961.jpg,fear
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,A woman in shackled looks frightened as a warrior dives into the sea to battle an evil sea monster.,new,train,19,a woman in shackled looks frightened as a warrior dives into the sea to battle an evil sea monster,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Mannerism_Late_Renaissance,contentment,correggio_virgin-and-child-with-an-angel-madonna-del-latte-1524,10,The mother is smiling when looking after he children,new,train,9,the mother is smiling when looking after he children,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/correggio_virgin-and-child-with-an-angel-madonna-del-latte-1524.jpg,contentment
Post_Impressionism,sadness,raoul-dufy_anemones,3,The dark blue background with the wilting flowers make the painting feel sad and lonely,new,train,15,the dark blue background with the wilting flowers make the painting feel sad and lonely,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Post_Impressionism/raoul-dufy_anemones.jpg,sadness
Post_Impressionism,sadness,raoul-dufy_anemones,3,The positioning and shading of the colors in the image make it seem gloomy.,new,train,14,the positioning and shading of the colors in the image make it seem gloomy,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Post_Impressionism/raoul-dufy_anemones.jpg,sadness
Rococo,sadness,joshua-reynolds_the-infant-samuel-at-prayer,22,the girl seems to be praying for her life,new,train,9,the girl seems to be praying for her life,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/joshua-reynolds_the-infant-samuel-at-prayer.jpg,sadness
Abstract_Expressionism,fear,cy-twombly_untitled-16,8,It looks like a visual depiction of the artist's nightmares,new,train,11,it looks like a visual depiction of the artist 's nightmares,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/cy-twombly_untitled-16.jpg,fear
Abstract_Expressionism,disgust,cy-twombly_untitled-16,8,It reminds me of a teacher scraping their nails across a black board and the sound that it makes disgusts me.,new,train,21,it reminds me of a teacher scraping their nails across a black board and the sound that it makes disgusts me,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/cy-twombly_untitled-16.jpg,disgust
Abstract_Expressionism,fear,cy-twombly_untitled-16,8,"This picture looks dark and chaotic, like the inside of someone's mind while they're doing something they know is wrong.",new,train,22,this picture looks dark and chaotic like the inside of someone 's mind while they are doing something they know is wrong,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/cy-twombly_untitled-16.jpg,fear
Abstract_Expressionism,disgust,cy-twombly_untitled-16,8,It is a bunch of scratches on a blackboard,new,train,9,it is a bunch of scratches on a blackboard,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/cy-twombly_untitled-16.jpg,disgust
